WASP-10 b	431701493
WASP-12 b	86396382
WASP-13 b	8767448
WASP-14 b	347430350
WASP-16 b	46096489
WASP-17 b	66818296
WASP-18 b	100100827
WASP-19 b	35516889
WASP-20 b	211438925
WASP-21 b	436478932
WASP-22 b	257567854
WASP-23 b	170102285
WASP-25 b	229047362
WASP-26 b	32487566
WASP-29 b	183537452
WASP-31 b	437248515
WASP-32 b	427332229
WASP-33 b	129979528
WASP-34 b	437242640
WASP-35 b	43647325
WASP-36 b	13349647
WASP-41 b	398943781
WASP-42 b	248075138
WASP-43 b	36734222
WASP-44 b	12862099
WASP-45 b	120610833
WASP-46 b	231663901
WASP-48 b	284475976
WASP-49 b	306362738
WASP-50 b	382391899
WASP-53 b	268766053
WASP-54 b	61098812
WASP-55 b	294301883
WASP-56 b	347329162
WASP-58 b	424435940
WASP-61 b	13021029
WASP-62 b	149603524
WASP-63 b	393414358
WASP-64 b	52640302
WASP-65 b	444013020
WASP-66 b	53735810
WASP-71 b	422655579
WASP-72 b	122612091
WASP-73 b	231670397
WASP-76 b	293435336
WASP-77 A b	1129033
WASP-78 b	139528693
WASP-79 b	170634116
WASP-80 b	243921117
WASP-82 b	452808876
WASP-83 b	286865921
WASP-85 A b	380619414
WASP-87 b	15445551
WASP-90 b	459730973
WASP-91 b	238176110
WASP-92 b	162689341
WASP-93 b	240681314
WASP-94 A b	92352620
WASP-95 b	144065872
WASP-96 b	160148385
WASP-97 b	230982885
WASP-98 b	166833457
WASP-99 b	166836920
WASP-100 b	38846515
WASP-101 b	47911178
WASP-104 b	393495970
WASP-105 b	158623531
WASP-106 b	53189332
WASP-113 b	310003988
WASP-117 b	166739520
WASP-118 b	380907135
WASP-119 b	388104525
WASP-120 b	152476657
WASP-121 b	22529346
WASP-124 b	97409519
WASP-126 b	25155310
WASP-127 b	169226822
WASP-129 b	61538902
WASP-132 b	127530399
WASP-135 b	308172249
WASP-136 b	176220787
WASP-138 b	35857242
WASP-139 b	159951311
WASP-140 b	178284730
WASP-141 b	117979897
WASP-142 b	423275733
WASP-144 b	207077681
WASP-145 A b	381856447
WASP-150 b	321668398
WASP-153 b	157586003
WASP-156 b	270380593
WASP-159 b	77156657
WASP-160 B b	32949762
WASP-164 b	237320326
WASP-165 b	228381868
WASP-166 b	408310006
WASP-167 b	104024556
WASP-168 b	232038798
WASP-170 b	118956453
WASP-171 b	162922904
WASP-172 b	453789494
WASP-173 A b	77031414
WASP-175 b	448589187
WASP-177 b	439842788
WASP-178 b	160708862
WASP-180 A b	178367144
WASP-181 b	293457754
WASP-182 b	369455629
WASP-183 b	14344979
WASP-186 b	411608801
WASP-192 b	160578764
Wendelstein-1 b	75262942
XO-1 b	236312126
XO-2 N b	356473034
XO-3 b	8400842
XO-4 b	51234631
XO-5 b	9155187
XO-6 b	138168780
XO-7 b	268403451
pi Men c	261136679
