TOI-1820 b	393831507
TOI-2158 b	342642208
TOI-1298 b	237104103
HATS-77 b	11561667
K2-329 b	301258470
HATS-7 b	220029715
KELT-2 A b	97735908
Kepler-14 b	158561566
pi Men c	261136679
TOI-1259 A b	288735205
HD 209458 b	420814525
Kepler-15 b	27774415
HR 858 b	178155732
HATS-75 b	44737596
TOI-4329 b	256722647
HD 108236 c	260647166
HD 219134 c	283722336
HD 108236 d	260647166
WASP-59 b	91051152
CoRoT-19 b	42821097
HD 110082 b	383390264
HATS-44 b	32499655
TOI-481 b	339672028
TOI-421 c	94986319
Kepler-435 b	63211674
HD 63433 c	130181866
TOI-2136 b	336128819
HD 202772 A b	290131778
Kepler-5 b	268823307
TOI-220 b	150098860
HATS-76 b	170849515
Wendelstein-1 b	75262942
CoRoT-4 b	36440357
HD 63935 c	453211454
HATS-23 b	7088246
KELT-12 b	116242971
TOI-1710 b	445805961
LTT 9779 b	183985250
TOI-1478 b	409794137
Kepler-63 b	299158887
TOI-2184 b	176956893
TOI-1759 b	408636441
K2-113 b	376939759
HATS-40 b	172598832
TOI-1064 c	79748331
HAT-P-39 b	14770122
HATS-74 A b	219189765
HD 2685 b	267263253
TOI-564 b	1003831
TOI-1278 b	163539739
TOI-5153 b	124029677
HD 15337 c	120896927
HAT-P-68 b	63189173
TOI-178 g	251848941
TOI-1842 b	404505029
HD 118203 b	286923464
TOI-1333 b	395171208
TOI-1231 b	447061717
TOI-559 b	209459275
HD 63433 b	130181866
TOI-942 b	146520535
HD 73583 c	101011575
HATS-34 b	355703913
LTT 1445 A c	98796344
GJ 486 b	390651552
TOI-640 b	147977348
HD 5278 b	263003176
HD 219134 b	283722336
Kepler-43 b	164892194
Kepler-447 b	48506505
TOI-1431 b	375506058
TOI-157 b	140691463
WASP-166 b	408310006
KOI-13 b	158324245
K2-60 b	206284139
TOI-1260 c	355867695
TOI-1246 d	230127302
TOI-954 b	44792534
TOI-519 b	218795833
TOI-2567 b	258920431
Kepler-77 b	159098316
K2-260 b	293612446
TOI-677 b	280206394
TOI-905 b	261867566
K2-232 b	68577662
TOI-2025 b	394050135
TOI-1296 b	219854185
LHS 1140 b	92226327
L 98-59 c	307210830
WASP-150 b	321668398
Kepler-412 b	158170594
TOI-178 d	251848941
TOI-776 c	306996324
HIP 97166 b	237222864
TOI-700 c	150428135
K2-140 b	380255458
HR 858 c	178155732
HD 73583 b	101011575
HD 221416 b	441462736
GJ 357 b	413248763
AU Mic c	441420236
HD 260655 c	307809773
HR 858 d	178155732
K2-29 b	56399553
LTT 1445 A b	98796344
HD 89345 b	350020859
TOI-451 c	257605131
TOI-125 d	52368076
TOI-530 b	387690507
K2-30 b	26017005
TOI-1789 b	172518755
TOI-431 d	31374837
KELT-1 b	432549364
AU Mic b	441420236
TOI-561 d	377064495
K2-136 c	18310799
K2-114 b	366576758
Kepler-423 b	63452790
HD 207897 b	264678534
Kepler-8 b	123233041
CoRoT-18 b	37168957
Kepler-411 c	399954349
K2-34 b	178217113
TOI-561 c	377064495
TOI-674 b	158588995
TOI-1181 b	229510866
TOI-1272 b	417948359
TOI-558 b	207110080
HD 332231 b	199376584
NGTS-1 b	192826603
TOI-1107 b	394561119
TOI-837 b	460205581
Kepler-7 b	121660904
K2-266 e	374180079
NGTS-3 A b	124778445
LP 791-18 c	181804752
HD 86226 c	22221375
K2-19 b	281885301
GJ 436 b	138819293
TOI-942 c	146520535
TOI-2207 b	90850770
G 9-40 b	203214081
TOI-2193 A b	401604346
TOI-3693 b	240823272
K2-295 b	610976842
TOI-2570 b	239816546
TOI-4137 b	417646390
